Trajectory Time [s]	Flow Trajectories 1_1				
-0.002875068	103.0622908	103.1123178	102.959466	103.1123167	102.9594621
-0.002853221	102.8867894	102.9470869	102.7836692	102.9470849	102.7996828
-0.002831337	102.7106488	102.7712326	102.6066121	102.7712307	102.6390167
-0.002809415	102.5316711	102.5938507	102.4251877	102.5938487	102.458233
-0.002787454	102.3498979	102.4123669	102.2119166	102.4123652	102.2627273
-0.002765448	102.0958602	102.1921827	101.9302612	102.1921805	101.9817404
-0.002743381	101.8126875	101.9102688	101.6449391	101.9102671	101.6970853
-0.002721253	101.5258517	101.6246886	101.355612	101.6246876	101.4087703
-0.002701081	101.2601041	101.3616428	101.0582911	101.3616422	101.1397758
-0.00267883	100.9552829	101.064404	100.7277229	101.064403	100.8195157
-0.002656507	100.6188185	100.7346049	100.3892561	100.7346033	100.4818539
-0.00263411	100.2793988	100.3961983	100.0478424	100.3961962	100.1412419
-0.002611635	99.93703633	100.0548442	99.70294592	100.0548419	99.79769195
-0.002589084	99.58947542	99.71011633	99.3140069	99.71011358	99.43584321
-0.002566446	99.16944373	99.32314267	98.86466498	99.32314004	98.98761138
-0.002543706	98.71879222	98.87388417	98.4112659	98.8738824	98.53531945
-0.002520862	98.26408714	98.42056831	97.95382095	98.42056741	98.07897853
-0.002497911	97.80533996	97.96320634	97.53421057	97.96320633	97.61860036
-0.002474847	97.22408236	97.54379292	96.66094324	97.54379376	96.83678959
-0.002451584	96.25680053	96.68076038	95.67397668	96.68076307	95.85592843
-0.002428082	95.25595058	95.69448023	94.65343984	95.69448371	94.84149774
-0.002404326	94.22152873	94.67462991	93.54618031	94.6746345	93.76442342
-0.002380291	93.03965381	93.57085463	91.90669788	93.57086159	92.34057648
-0.002355833	90.90415545	91.95586445	89.68392372	91.95588065	90.1341341
-0.002333026	88.64939613	89.73467094	87.3908849	89.7346864	87.85513561
-0.00230962	86.3244361	87.44320971	85.02773007	87.44322436	85.50598886
-0.002285563	83.92943784	85.08162876	82.59463986	85.08164252	83.08686758
-0.002260798	81.4645986	82.65010793	80.10521932	82.65012072	80.60570696
-0.002235262	78.9537967	80.16161938	77.53938154	80.16163099	78.0610853
